"feature_id","estimate_P_MCI_vs_S_MCI","se","t","p_value","fdr","n_subjects","df_residual","symbol"
"ENSG00000259924",-0.0935333396712781,0.0297650202548385,-3.14239126566942,0.0028702683131881,0.928180260175504,52,48,""
"ENSG00000128272",-0.216524482770498,0.0689425637403117,-3.14065028950894,0.0028844238787545,0.928180260175504,52,48,"ATF4"
"ENSG00000099860",-0.383316108822991,0.122093950344487,-3.13951762344873,0.0028936686402055,0.928180260175504,52,48,"GADD45B"
"ENSG00000286153",-0.239820436340399,0.076470817222768,-3.13610400738592,0.0029216993649903,0.928180260175504,52,48,"RUNX1-AS1"
"ENSG00000260259",-0.059417521831902,0.0189691419700597,-3.13232522196759,0.002953026585969,0.928180260175504,52,48,"LINC02166"
"ENSG00000272512",-0.305633683906581,0.0983015153111207,-3.10914519414336,0.0031522180016248,0.928180260175504,52,48,""
"ENSG00000214988",0.0199127290098046,0.0064105330417012,3.10625167677477,0.0031779512688696,0.928180260175504,52,48,"RPL7AP26"
"ENSG00000165462",-0.100309815471231,0.0323050166032974,-3.1050847830548,0.0031883847072186,0.928180260175504,52,48,"PHOX2A"
"ENSG00000244357",0.150657456112137,0.0485704470037875,3.10183383942069,0.0032176220953711,0.928180260175504,52,48,"RN7SL145P"
"ENSG00000256628",-0.263993142764119,0.0851936007775585,-3.09874380651439,0.0032456457074758,0.928180260175504,52,48,"ZBTB11-AS1"
"ENSG00000162298",-0.178357419598093,0.0575880929678509,-3.09712321430165,0.0032604344250099,0.928180260175504,52,48,"SYVN1"
"ENSG00000227355",-0.255497386813151,0.0825155334781047,-3.09635502606242,0.003267466623172,0.928180260175504,52,48,"LOC102723324"
"ENSG00000273314",-0.262411641601138,0.0847813993306415,-3.0951558204147,0.003278472958327,0.928180260175504,52,48,""
"ENSG00000160190",-0.218676237943962,0.0706836843733196,-3.09373004368323,0.0032916040856105,0.928180260175504,52,48,"SLC37A1"
"ENSG00000286102",0.103027944646491,0.0333423037353042,3.09000678130709,0.0033261279367836,0.928180260175504,52,48,"FAM246A"
"ENSG00000138606",-0.178008520025632,0.0577268847487714,-3.0836328826738,0.0033860203324753,0.928180260175504,52,48,"SHF"
"ENSG00000170684",-0.355438178367904,0.115845430261525,-3.06821061103136,0.0035351508869882,0.928180260175504,52,48,"ZNF296"
"ENSG00000216475",0.0179909164497733,0.0058680579723383,3.06590639263983,0.0035579544211454,0.928180260175504,52,48,"SSBP1P4"
"ENSG00000126259",0.056742752791045,0.0185824240469589,3.05357108672435,0.0036823945750026,0.928180260175504,52,48,"KIRREL2"
"ENSG00000176170",-0.329780929096583,0.108228991276185,-3.0470664579607,0.0037496461302113,0.928180260175504,52,48,"SPHK1"
"ENSG00000233220",-0.145179795665186,0.0476459311054723,-3.04705548399938,0.0037497605569305,0.928180260175504,52,48,"PRDM10-DT"
"ENSG00000217414",-0.0242090929725051,0.0079515586858639,-3.04457200517723,0.003775740414539,0.928180260175504,52,48,"DDX18P3"
"ENSG00000233208",-0.0750618400224153,0.0247316149839203,-3.03505614458328,0.0038768561390537,0.928180260175504,52,48,"LINC00642"
