"cell_type","avg_expr","pct_expr","gene","marker_set"
"MAIT cells",0.0323877599690659,2.61512222853894,"MS4A1","Memory B"
"Naive CD8 T cells",0.000361857502914572,0.0390930414386239,"MS4A1","Memory B"
"Natural killer cells",0,0,"MS4A1","Memory B"
"Neutrophil",0,0,"MS4A1","Memory B"
"Non-switched memory B cells",2.09616154316368,96.2962962962963,"MS4A1","Memory B"
"Terminal effector CD8 T cells",0.0172598295443369,1.30615234375,"MS4A1","Memory B"
"Th2 cells",0.0168092252545807,1.66134185303514,"MS4A1","Memory B"
"Central memory CD8 T cells",0.018252726604043,1.51143790849673,"CD79A","Memory B"
"Effector memory CD8 T cells",0.00502527562776051,0.442791356712717,"CD79A","Memory B"
"MAIT cells",0.000520898654305922,0.0568504832291074,"CD79A","Memory B"
"Naive CD8 T cells",0.165611419135226,15.5199374511337,"CD79A","Memory B"
"Natural killer cells",0.00994491552301013,0.578034682080925,"CD79A","Memory B"
"Neutrophil",0.0414406516499181,3.03030303030303,"CD79A","Memory B"
"Non-switched memory B cells",2.59598246637983,100,"CD79A","Memory B"
"Terminal effector CD8 T cells",0.00207714767029193,0.1708984375,"CD79A","Memory B"
"Th2 cells",0.0303442074552293,2.93929712460064,"CD79A","Memory B"
"Central memory CD8 T cells",1.65978589879259,90.1960784313726,"CD37","Memory B"
"Effector memory CD8 T cells",1.71305291136185,87.9029401346086,"CD37","Memory B"
"MAIT cells",1.5236829390129,86.1284820920978,"CD37","Memory B"
"Naive CD8 T cells",1.59170036014227,91.5949960906959,"CD37","Memory B"
"Natural killer cells",1.7806621449626,82.6589595375723,"CD37","Memory B"
"Neutrophil",2.07192887562081,96.969696969697,"CD37","Memory B"
"Non-switched memory B cells",3.02440850280531,100,"CD37","Memory B"
"Terminal effector CD8 T cells",1.62966896581233,85.2294921875,"CD37","Memory B"
"Th2 cells",1.7216284977333,95.7188498402556,"CD37","Memory B"
"Central memory CD8 T cells",0.0146496140583248,1.06209150326797,"HLA-DRA","Memory B"
"Effector memory CD8 T cells",0.295235261102438,17.9773290825363,"HLA-DRA","Memory B"
"MAIT cells",0.0087096286123684,0.739056281978397,"HLA-DRA","Memory B"
"Naive CD8 T cells",0.00228161533121898,0.234558248631744,"HLA-DRA","Memory B"
"Natural killer cells",0,0,"HLA-DRA","Memory B"
"Neutrophil",2.9054291149621,96.969696969697,"HLA-DRA","Memory B"
"Non-switched memory B cells",3.48660662499815,100,"HLA-DRA","Memory B"
"Terminal effector CD8 T cells",0.128326754237507,8.55712890625,"HLA-DRA","Memory B"
"Th2 cells",0.0430238270822646,3.64217252396166,"HLA-DRA","Memory B"
"Central memory CD8 T cells",0.0537515620750557,4.20751633986928,"GZMB","Terminal effector CD8 T"
"Effector memory CD8 T cells",0.222622037647618,13.0357775416224,"GZMB","Terminal effector CD8 T"
"MAIT cells",0.0664112435011422,5.11654349061967,"GZMB","Terminal effector CD8 T"
"Naive CD8 T cells",0.00327619452856432,0.312744331508991,"GZMB","Terminal effector CD8 T"
"Natural killer cells",2.97678970145903,96.5317919075144,"GZMB","Terminal effector CD8 T"
"Neutrophil",0.0412148879405891,6.06060606060606,"GZMB","Terminal effector CD8 T"
"Non-switched memory B cells",0.0203941867972687,1.85185185185185,"GZMB","Terminal effector CD8 T"
"Terminal effector CD8 T cells",1.85068158433876,82.99560546875,"GZMB","Terminal effector CD8 T"
"Th2 cells",0.00777781274012826,0.830670926517572,"GZMB","Terminal effector CD8 T"
"Central memory CD8 T cells",0.40787797704617,31.0866013071895,"GATA3","Th2"
"Effector memory CD8 T cells",0.250460467218378,18.9691817215728,"GATA3","Th2"
"MAIT cells",0.326514049034964,25.4690164866401,"GATA3","Th2"
"Naive CD8 T cells",0.145947457078849,14.3080531665364,"GATA3","Th2"
"Natural killer cells",0.184682456372435,11.5606936416185,"GATA3","Th2"
"Neutrophil",0.0512279081601985,6.06060606060606,"GATA3","Th2"
"Non-switched memory B cells",0.129949461145957,12.962962962963,"GATA3","Th2"
"Terminal effector CD8 T cells",0.248922480598006,18.8232421875,"GATA3","Th2"
"Th2 cells",1.1405535353153,73.9936102236422,"GATA3","Th2"
